name,description
Cañón,El rover se encontró un cañón de 183 km de longitud al noroeste.
Anomalía magnética,Los sensores detectan una anomalía magnética de 89 uT en la zona norte.
Géisers de gas,Emisión activa de géisers de gas comprimido a 384 metros al suroeste.
Cráter de impacto,Detección de un cráter de impacto con un diámetro aproximado de 142 m al este.
Tormenta de polvo,Alerta de tormenta de polvo con visibilidad reducida al 54% dirigiéndose hacia el sur.
Afloramiento rocoso,Se identificó un afloramiento rocoso rico en minerales de hierro y titanio al sureste.
Depósito de hielo de agua,Detección espectrométrica de depósito de hielo de agua a 320 cm bajo la superficie al oeste.
Duna de arena fina,El rover navega por una duna de arena fina con alto riesgo de atascamiento al noreste.
Lecho de río seco,Descubrimiento de un antiguo lecho de río seco con sedimentos fluviales al suroeste.
Radiación elevada,Pico de radiación cósmica detectado alcanzando 112 mSv/h al noroeste.
Fisura tectónica,Grieta tectónica profunda de 295 m de profundidad detectada al este.
Tubo de lava subterráneo,Estructura geotérmica compatible con un tubo de lava subterráneo al norte.
Cueva subsuperficial,Entrada a una cueva subsuperficial con potencial refugio térmico al sur.
Rocas basálticas,Campo denso de rocas basálticas acumuladas al noreste.
Depósito de arcilla,Presencia de minerales de arcilla filosilicatada indicando antigua presencia de agua al oeste.
Gélida capa de dióxido de carbono,Detección de una capa gélida de dióxido de carbono sobre el terreno al sureste.
Caída de meteorito reciente,Fragmentos de un meteorito metálico con un impacto reciente al noroeste.
Terreno caótico,Área de terreno caótico con bloques de roca fracturada y colapsada al suroeste.
Viento solar intenso,Sensor atmosférico registra ráfagas de viento solar a 412 km/s.
Desprendimiento de rocas,Alerta por desprendimiento de rocas en la ladera del cerro situado al este.
Cañón,El rover se encontró un cañón de 45 km de longitud al sur.
Afloramiento rocoso,Se identificó un afloramiento rocoso rico en minerales de sulfatos de magnesio al norte.
Cráter de impacto,Detección de un cráter de impacto con un diámetro aproximado de 490 m al oeste.
Tormenta de polvo,Alerta de tormenta de polvo con visibilidad reducida al 88% dirigiéndose hacia el noreste.
Depósito de hielo de agua,Detección espectrométrica de depósito de hielo de agua a 45 cm bajo la superficie al sureste.
Duna de arena fina,El rover navega por una duna de arena fina con alto riesgo de atascamiento al noroeste.
Anomalía magnética,Los sensores detectan una anomalía magnética de 145 uT en la zona suroeste.
Lecho de río seco,Descubrimiento de un antiguo lecho de río seco con sedimentos fluviales al este.
Radiación elevada,Pico de radiación cósmica detectado alcanzando 45 mSv/h al norte.
Rocas basálticas,Campo denso de rocas basálticas acumuladas al sur.
Géisers de gas,Emisión activa de géisers de gas comprimido a 120 metros al oeste.
Fisura tectónica,Grieta tectónica profunda de 80 m de profundidad detectada al noreste.
